Crop,Frequency,Unit,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014,Production 2006-07,Production 2007-08,Production 2008-09,Production 2009-10,Production 2010-11,Area 2006-07,Area 2007-08,Area 2008-09,Area 2009-10,Area 2010-11,Yield 2006-07,Yield 2007-08,Yield 2008-09,Yield 2009-10,Yield 2010-11
Kharif,Annual,Ton mn,14.1492,16.767,14.0121,20.7134,17.807969,15.728429,21.922022,20.691064,20.791,22.1366,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
Rabi,Annual,Ton mn,10.2043,11.2109,10.2773,9.0419,9.910983,9.153195,10.556934,9.1075777,10.152,10.2777,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
Groundnut,Annual,Ton mn,6.7744,7.9933,4.8635,9.1825,7.1681,5.428493,8.264782,6.963712,4.695,9.4715,115.2,217.5,169.8,128.6,195.7,124.1,139.1,136.3,121.1,129.5,92.8,156.3,124.6,106.2,151.2
Groundnut,Annual,Ton mn,6.7744,7.9933,4.8635,9.1825,7.1681,5.428493,8.264782,6.963712,4.695,9.4715,115.2,217.5,169.8,128.6,195.7,124.1,139.1,136.3,121.1,129.5,92.8,156.3,124.6,106.2,151.2
GroundnutKharif,Annual,Ton mn,5.2621,6.2979,3.2942,7.3624,5.6171,3.852216,6.642767,5.12691,3.187,7.6557,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
GroundnutRabi,Annual,Ton mn,1.5123,1.6954,1.5693,1.8201,1.551,1.576277,1.622015,1.836802,1.508,1.8158,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
CastorseedKharif,Annual,Ton mn,0.7934,0.9907,0.7623,1.0536,1.171059,1.008951,1.350324,2.29491,1.964,1.6438,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
SesamunKharif,Annual,Ton mn,0.6741,0.6411,0.6184,0.7569,0.6403,0.588419,0.892995,0.810264,0.685,0.6361,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
NigerseedKharif,Annual,Ton mn,0.1122,0.108,0.1209,0.1095,0.11698,0.099936,0.107709,0.098084,0.102,0.0875,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
RapeseedandMustardRabi,Annual,Ton mn,7.5931,8.1312,7.4378,5.8336,7.2007,6.608079,8.17871,6.6037357,8.029,7.8289,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
LinseedRabi,Annual,Ton mn,0.1697,0.1725,0.1679,0.1634,0.169183,0.153703,0.146544,0.152456,0.149,0.1409,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
SafflowerRabi,Annual,Ton mn,0.1736,0.2286,0.2403,0.2245,0.1892,0.178822,0.150432,0.145331,0.109,0.1159,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
Sunflower,Annual,Ton mn,1.1867,1.439,1.2275,1.4631,1.158,0.850744,0.651063,0.516636,0.544,0.5417,161.3,192.3,152.2,111.8,85.6,175.0,154.5,146.5,119.3,75.1,92.2,124.5,103.9,93.7,114.0
SunflowerKharif,Annual,Ton mn,0.4311,0.4558,0.3655,0.4628,0.3571,0.21443,0.19183,0.147383,0.187,0.1655,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
SunflowerRabi,Annual,Ton mn,0.7556,0.9832,0.862,1.0003,0.8009,0.636314,0.459233,0.369253,0.357,0.3762,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
SoyabeanKharif,Annual,Ton mn,6.8763,8.2735,8.8508,10.9682,9.90543,9.964477,12.736397,12.213513,14.666,11.948,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
CropsSugarcane,Annual,Ton mn,237.0884,281.1718,355.5197,348.1879,285.0293,292.301617,342.3815552,361.036576,341.2,348.384,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
